municipio,curso,grau,eixo,ofertado_prosel_2026,vagas_regulares,D4_demanda_municipal,demanda_composta,necessidade_norm,aderencia_setorial,concorrencia_norm,nivel_concorrencia,n_ies_presenciais,n_cursos_concorrentes,II,IE,IP,prioridade_final,decisao_final,categoria_decisao,ip_alto,demanda_razoavel,plausivel_implantacao,plausivel_expansao,classificacao_final
Altamira,Enfermagem,Bacharelado,SAUDE,True,20,0.50920989,0.5894185750194592,0.7097316025486479,0.65,0.7619047619047619,Muito Alta,5,7,0.6747346636191902,0.5422904408141593,0.5422904408141593,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Altamira,Educação Física (Bacharelado),Bacharelado,SAUDE,True,40,0.50920989,0.5894185750194592,0.7097316025486479,0.65,0.7619047619047619,Muito Alta,5,7,0.6747346636191902,0.583957107480826,0.583957107480826,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Altamira,Engenharia Ambiental e Sanitária,Bacharelado,ENGENHARIA_TEC,True,40,0.50920989,0.5142568852929099,0.5218273782322749,0.35,0.7619047619047619,Muito Alta,5,7,0.5452101006221322,0.5200696712132591,0.5200696712132591,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Altamira,Matemática,Licenciatura,EDUCACAO,True,40,0.50920989,0.5111931342024693,0.5141680005061732,0.65,0.7619047619047619,Muito Alta,5,7,0.6023761308634745,0.5174654827863846,0.5174654827863846,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Ananindeua,Engenharia de Software,Bacharelado,ENGENHARIA_TEC,True,30,0.76095789,0.6617689737914045,0.5129855994785112,0.7,0.6190476190476191,Muito Alta,8,8,0.621538996768954,0.5205257845322175,0.5205257845322175,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Ananindeua,Matemática,Licenciatura,EDUCACAO,True,40,0.76095789,0.630838699953433,0.4356599148835826,0.7,0.6190476190476191,Muito Alta,8,8,0.5929284934688303,0.5150683851032752,0.5150683851032752,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Ananindeua,Engenharia Florestal,Bacharelado,ENGENHARIA_TEC,True,30,0.76095789,0.6617689737914045,0.5129855994785112,0.7,0.6190476190476191,Muito Alta,8,8,0.621538996768954,0.5205257845322175,0.5205257845322175,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Barcarena,Geografia,Licenciatura,EDUCACAO,True,40,0.44969029,0.546568513701711,0.6918858492542775,0.45,0.9047619047619048,Média,2,0,0.6531324926145589,0.5939618639321687,0.5939618639321687,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Barcarena,Física,Licenciatura,EDUCACAO,True,40,0.44969029,0.546568513701711,0.6918858492542775,0.45,0.9047619047619048,Média,2,0,0.6531324926145589,0.5939618639321687,0.5939618639321687,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Bragança,Engenharia Civil,Bacharelado,ENGENHARIA_TEC,True,40,0.63029087,0.7218929553670128,0.8592960834175323,0.45,0.8095238095238095,Alta,4,8,0.7237728598454394,0.6697598463000561,0.6697598463000561,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Cametá,Ciências Biológicas,Licenciatura,EDUCACAO,True,40,0.64133931,0.7333573805888494,0.8713844864721235,0.65,0.8095238095238095,Alta,4,7,0.7702342881756381,0.6761900757386172,0.6761900757386172,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Cametá,Física,Licenciatura,EDUCACAO,True,40,0.64133931,0.7333573805888494,0.8713844864721235,0.65,0.8095238095238095,Alta,4,7,0.7702342881756381,0.6761900757386172,0.6761900757386172,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Cametá,Tecnologia de Alimentos,Tecnólogo,ENGENHARIA_TEC,True,40,0.64133931,0.5899978257914045,0.5129855994785112,0.25,0.8095238095238095,Alta,4,7,0.5576266999880015,0.5543344541607891,0.5543344541607891,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Castanhal,Engenharia Florestal,Bacharelado,ENGENHARIA_TEC,True,40,0.60962168,0.5709672477914045,0.5129855994785112,0.85,0.6190476190476191,Muito Alta,8,8,0.624298478968954,0.509578513765551,0.509578513765551,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Castanhal,Geografia,Licenciatura,EDUCACAO,True,40,0.60962168,0.6138408195253563,0.6201695288133906,0.65,0.6190476190476191,Muito Alta,8,8,0.6239565328228593,0.54602104973941,0.54602104973941,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Castanhal,Física,Licenciatura,EDUCACAO,True,40,0.60962168,0.6138408195253563,0.6201695288133906,0.65,0.6190476190476191,Muito Alta,8,8,0.6239565328228593,0.54602104973941,0.54602104973941,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
